neighborhood,num_opportunities,avg_discount_pct,max_discount_pct,median_price,median_predicted,total_savings
Centrum,40,0.1605298901683771,0.33441647073691183,512500.0,601422.2914862352,4354100.885855915
Zuid,38,0.1858797419804776,0.3918729600933162,520000.0,674398.3001347865,4985316.892726457
West,27,0.16860880530705458,0.3063198671633989,450000.0,551508.3009435342,2696825.9826439354
Noord,22,0.16327875164057126,0.24159958288722497,446420.0,528470.9332951616,2134868.014832158
Oost,17,0.15193621614631134,0.22470748645564284,400000.0,453236.12725493754,1321189.6355870673
Nieuw-West,12,0.1614018063463566,0.360263762072087,425000.0,492725.3952752495,959331.0169549765
Zuidoost,6,0.164366275555576,0.2317266886911828,385000.0,471270.6918741547,452038.1101787843
