image_id,property_id,property_address,property_price,property_url,image_url,image_order
2456,5807,Sarphatipark 45-H,1495000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-sarphatipark-45-h/89761694/,https://cloud.funda.nl/valentina_media/226/875/817.jpg?options=width=1440,2
2461,5808,Oudeschans 43-2,529000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-oudeschans-43-2/43300733/,https://cloud.funda.nl/valentina_media/226/985/111.jpg?options=width=1440,2
2466,5809,Waterkeringweg 45,595000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-waterkeringweg-45/43318480/,https://cloud.funda.nl/valentina_media/227/279/393.jpg?options=width=1440,2
2471,5811,Domselaerstraat 45-2,525000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-domselaerstraat-45-2/89764373/,https://cloud.funda.nl/valentina_media/226/985/257.jpg?options=width=1440,2
2476,5812,Blasiusstraat 63-3,995000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-blasiusstraat-63-3/43315871/,https://cloud.funda.nl/valentina_media/227/182/774.jpg?options=width=1440,2
2481,5813,Streefkerkstraat 86,325000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-streefkerkstraat-86/89762141/,https://cloud.funda.nl/valentina_media/226/893/971.jpg?options=width=1440,2
2486,5814,Amazonenstraat 39-2,875000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-amazonenstraat-39-2/43394238/,https://cloud.funda.nl/valentina_media/226/759/738.jpg?options=width=1440,2
2491,5815,Javaplein 10-F,790000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-javaplein-10-f/89773448/,https://cloud.funda.nl/valentina_media/227/331/706.jpg?options=width=1440,2
2496,5816,P. Hans Frankfurthersingel 19,869000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-p-hans-frankfurthersingel-19/89717225/,https://cloud.funda.nl/valentina_media/225/164/862.jpg?options=width=1440,2
2501,5817,Fred. Roeskestraat 92-B15,1050000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-fred-roeskestraat-92-b15/43317094/,https://cloud.funda.nl/valentina_media/227/264/050.jpg?options=width=1440,2
