neighborhood,area_code,year,woz_value,housing_stock,housing_density,population,area_0_40,area_40_60,area_60_80,area_80_100,area_100_plus,avg_area_m2
Centrum,A,2025,647612,57168,9139,91014,8083,16390,13435,8049,10844,71.40
Zuid,K,2025,672188,84336,5508,147015,6242,24706,23426,11390,18514,76.31
Oost,M,2025,553018,77556,4019,147971,9856,17209,18753,15471,16195,75.73
West,E,2025,515586,84063,9022,149607,8011,38424,19859,9515,8185,64.19
Noord,N,2025,463766,52528,1314,110557,4109,12214,16351,11433,8379,75.37
Nieuw-West,F,2025,419951,75057,2295,166462,7146,14256,21369,17145,15092,78.08
Zuidoost,T,2025,310870,44947,2511,93228,6478,6748,12135,12263,7275,74.96
Weesp,S,2025,521075,11099,483,26725,186,996,2217,2670,5029,99.37
Amsterdam,STAD,2025,524416,486767,2653,934374,50111,130944,127551,87939,89516,74.13
